Κατάλογος Εξαιρέσεων από Άδεια,,,,,,,,,,,,,
Όνομα Αδειούχου,Αριθμός Άδειας,Ημερομηνία Έναρξης,Ημερομηνία Λήξης,Ισχύς (KW),Αποθήκευση ενέργειας – Ισχύς εξόδου (kW),Αποθήκευση ενέργειας – Αποθηκευτική ισχύς (kWh),Τεχνολογία,Τύπος Τεχνολογίας,Καύσιμο,Τύπος Άδειας,Καθεστώς Λειτουργίας,Επαρχία,Δήμος/Κοινότητα
ΤΡΑΠΕΖΑ  ΚΥΠΡΟΥ Δ.Ε. ΛΤΔ,Ε001280/2014,30/12/2014,29/12/2026,920,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολος
EUROLIFE LTD,Ε001279/2014,30/12/2014,29/12/2026,572,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολος
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001278/2014,30/12/2014,29/12/2026,24,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,,Λάρνακα,Αραδίππου
C.G. DJAPAIRAS INVESTMENTS LTD,Ε001277/2014,30/12/2014,29/12/2026,500,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Νήσου
NEW YORK SWEETS LTD,Ε001276/2014,30/12/2014,29/12/2026,480,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Άγιος Αθανάσιος
G &AMP; E THERMOSOLAR LTD,Ε001275/2014,30/12/2014,29/12/2026,64,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,,Λάρνακα,Λάρνακα
ΠΟΥΛΛΑΣ ΤΣΑΔΙΩΤΗΣ ΛΤΔ,Ε001274/2014,30/12/2014,29/12/2026,544,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Πάφος,Πάφος
ΠΟΥΛΛΑΣ ΤΣΑΔΙΩΤΗΣ ΛΤΔ,Ε001273/2014,30/12/2014,29/12/2026,488,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Πάφος,Πάφος
ΠΟΥΛΛΑΣ ΤΣΑΔΙΩΤΗΣ ΛΤΔ,Ε001272/2014,30/12/2014,29/12/2026,920,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Πάφος,Πάφος
ZEMCO CONSTRUCTION LTD,Ε001271/2014,30/12/2014,29/12/2026,400,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
TAHAN ENGINEERS AND CONTRACTORS LTD,Ε001270/2014,30/12/2014,29/12/2026,80,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,,Κινητή Μονάδα,Κινητή Μονάδα
FAREILA HOLDINGS LTD,Ε001222/2014,30/12/2014,29/12/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Πάφος,Δρύμου
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001221/2014,30/12/2014,29/12/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Ορούντα
FLOWAY ENERGY LTD,Ε001220/2014,30/12/2014,29/12/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Βάσα Κοιλανίου
UNIROLL PAPER INDUSTRY LTD,Ε001219/2014,30/12/2014,29/12/2044,35,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Ύψωνας
ΕΝΩΣΗ ΝΕΩΝ ΤΡΑΣΤ,Ε001218/2014,30/12/2014,29/12/2044,18.13,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λευκωσία,Λευκωσία
ΘΕΔΗΤΑΚΥ ΤΣΙΟΛΑΣ ΛΤΔ,Ε001217/2014,30/12/2014,29/12/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Αμμόχωστος,Αυγόρου
SUNNOVA ENERGY LTD,Ε001216/2014,30/12/2014,29/12/2044,98,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Εργάτες
BLUE PHARMACIES LTD (PUBLIC),Ε001215/2014,16/12/2014,15/12/2044,101.43,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Κάτω Πολεμίδια
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001214/2014,15/12/2014,14/12/2044,60,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Κουκά
PERISTERONAPO 3100 LTD,Ε001213/2014,15/12/2014,14/12/2044,99.45,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Περιστερώνα
OROUNDAPO 1100 LTD,Ε001212/2014,15/12/2014,14/12/2044,99.72,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Ορούντα
PERISTERONAPO 2100 LTD,Ε001211/2014,15/12/2014,14/12/2044,99.84,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Περιστερώνα
PERISTERONAPO 1100 LTD,Ε001210/2014,15/12/2014,14/12/2044,99.45,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Περιστερώνα
A.THEODOSIOU ENGINEERING LTD,Ε001209/2014,15/12/2014,14/12/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Πύργος
ΤΜΗΜΑ ΚΤΗΜΑΤΟΛΟΓΙΟΥ &AMP; ΧΩΡΟΜΕΤΡΙΑΣ,Ε001208/2014,10/12/2014,09/12/2026,240,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,,Λεμεσός,Λεμεσός
ΤΜΗΜΑ ΚΤΗΜΑΤΟΛΟΓΙΟΥ ΚΑΙ ΧΩΡΟΜΕΤΡΙΑΣ,Ε001207/2014,10/12/2014,09/12/2026,240,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,,Λεμεσός,Κάμπος Πολεμιδιών
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001206/2014,03/12/2014,02/12/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Αραδίππου
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001205/2014,03/12/2014,02/12/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Τσέρι
VIRO INVESTMENTS LTD,Ε001204/2014,03/12/2014,02/12/2044,150,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Πάφος,Πέγεια
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001203/2014,03/12/2014,02/12/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Αγίοι Τριμιθιάς
COIN DECO (CYPRUS) LTD,Ε001202/2014,03/12/2014,02/12/2044,99.25,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Τρούλλοι
P.A.S  SOLAR FARM LTD,Ε001201/2014,03/12/2014,02/12/2044,99.36,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Κλήρου
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001200/2014,20/11/2014,19/11/2044,199.4,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λευκωσία,Δάλι
S.J. SERAPHIM LTD,Ε001199/2014,20/11/2014,19/11/2044,20,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λευκωσία,Λατσιά
MEDITERRANEAN SUN (CHARIS) LTD,Ε001198/2014,20/11/2014,19/11/2044,99.84,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Αμμόχωστος,Λιοπέτρι
S.H. ALIKO ENERGY LTD,Ε001197/2014,20/11/2014,19/11/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Δάλι
P. YIATROS ENERGY LTD,Ε001196/2014,20/11/2014,19/11/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Αρακαπάς
VISSUANIC HOLDONGS LTD,Ε001195/2014,20/11/2014,19/11/2044,99.82,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Αθηένου
ΜΥΡΑΝΘΕΟ ΛΤΔ,Ε001194/2014,20/11/2014,19/11/2044,99.36,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Αραδίππου
UBERLUX LTD,Ε001193/2014,20/11/2014,19/11/2044,99.75,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Αραδίππου
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001192/2014,20/11/2014,19/11/2044,49.725,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Αραδίππου
ECASINI LTD,Ε001191/2014,20/11/2014,19/11/2044,99.84,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Δρομολαξιά
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001190/2014,20/11/2014,19/11/2044,99.75,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Αραδίππου
SOLARPIAZZA PV LTD ,Ε001189/2014,20/11/2014,19/11/2044,99.9,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Απεσιά
PHOTOVOLT NAKIS LTD,Ε001188/2014,20/11/2014,19/11/2044,83,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Ορούντα
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001187/2014,20/11/2014,19/11/2044,50,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Δάλι
MAKL ENERGY LTD,Ε001186/2014,20/11/2014,19/11/2044,99.9,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Αθηένου
HELLAS SAT CONSORTIUM LTD,Ε001185/2014,14/11/2014,13/11/2044,340,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λάρνακα,Κοφίνου
YIALCO ENERGY LTD,Ε001184/2014,13/11/2014,12/11/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Ύψωνας
ABF ENERGY SOLUTIONS LTD,Ε001183/2014,13/11/2014,12/11/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Κάτω Δρύς
POWERSIDE SOLAR LTD,Ε001182/2014,13/11/2014,12/11/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Βάσα Κοιλανίου
ΓΕΩΡΓΟΚΤΗΝΟΤΡΟΦΙΚΗ ΕΠΑΥΛΗΣ ΕΥΣΤΑΘΙΟΥ ΝΙΚΟΛΑ ΛΤΔ,Ε001181/2014,13/11/2014,12/11/2044,149.85,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Ορούντα
HADTSE ENERGY &AMP; CONSTRUCTION LTD,Ε001179/2014,04/11/2014,03/11/2044,99.3,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Αλεθρικό
TERAPLANET LTD,Ε001178/2014,04/11/2014,03/11/2044,79.87,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Πάφος,Αναρίτα
SMETANA INVESTMENTS LTD ,Ε001177/2014,04/11/2014,03/11/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Πάφος,Αναρίτα
ΜΑΥΡΗΛΙΟΝ ΛΤΔ,Ε001176/2014,04/11/2014,03/11/2044,96.53,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Άγιος Θεράπων
MULTIMARINE SERVICES LTD,Ε001172/2014,27/10/2014,26/10/2026,200,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
MULTIMARINE SERVICES LTD,Ε001171/2014,27/10/2014,26/10/2026,200,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
MULTIMARINE SERVICES LTD,Ε001170/2014,27/10/2014,26/10/2026,100,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
MULTIMARINE SERVICES LTD,Ε001169/2014,27/10/2014,26/10/2026,32,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
MULTIMARINE SERVICES LTD,Ε001168/2014,27/10/2014,26/10/2026,16,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
MULTIMARINE SERVICES LTD,Ε001167/2014,27/10/2014,26/10/2026,24,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
MULTIMARINE SERVICES LTD,Ε001166/2014,27/10/2014,26/10/2026,128,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
MULTIMARINE SERVICES LTD,Ε001165/2014,27/10/2014,26/10/2026,110,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
MULTIMARINE SERVICES LTD,Ε001164/2014,27/10/2014,26/10/2026,240,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
MULTIMARINE SERVICES LTD,Ε001163/2014,27/10/2014,26/10/2026,200,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,Κινητή Μονάδα
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001162/2014,27/10/2014,26/10/2044,99.84,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Περιστερώνα
TH. FLOKKAS SOLAR ENERGY,Ε001161/2014,27/10/2014,26/10/2044,99.84,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Άγιος Θεόδωρος
AGERINO ENERGY LTD,Ε001160/2014,06/10/2014,05/10/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Δάλι
MGFK ENERGY LTD,Ε001159/2014,06/10/2014,05/10/2044,79.5,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Μένοικο
P. HIMONAS ESTATES LTD ,Ε001158/2014,29/09/2014,28/09/2044,99.84,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Πισσούρι
ΔΗΜΗΤΡΗΣ ΑΡΓΥΡΙΔΗΣ ΛΤΔ,Ε001157/2014,26/09/2014,25/09/2044,15,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λευκωσία,Άγιος Δομέτιος
ΜΙΧΑΗΛ ΠΙΤΤΑΣ ΛΤΔ,Ε001156/2014,25/09/2014,24/09/2044,150,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Κλήρου
SOVEX TRADING LTD,Ε001155/2014,25/09/2014,24/09/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Κλήρου
ROTADA FOTOVOLD LTD,Ε001154/2014,25/09/2014,24/09/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Κλήρου
D &AMP; M (MOULLOUROS) MANAGEMENT LTD,Ε001153/2014,25/09/2014,24/09/2044,99.2,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Εργάτες
LUX MUNDI ENERGI LTD,Ε001152/2014,25/09/2014,24/09/2044,99.5,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Σκαρίνου
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001151/2014,25/09/2014,24/09/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Αμμόχωστος,Σωτήρα
Λ.Α.Κ ΕΝΕΡΓΕΙΑΚΗ ΛΤΔ,Ε001150/2014,25/09/2014,24/09/2044,149.73,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Καλαβασσός
JUSBERLAIN LTD,Ε001149/2014,17/09/2014,16/09/2044,99.6,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Μαζωτός
CHRIMARES ENERGY LTD,Ε001148/2014,16/09/2014,15/09/2044,99.715,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Πάφος,Λυσός
PRIMA VITA LTD,Ε001147/2014,16/09/2014,15/09/2044,99.74,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Πάφος,Λυσός
K. PROTOPAPAS AGRICULTURAL ENTERPRISES LTD,Ε001146/2014,16/09/2014,15/09/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Πάνω Δευτερά
ELECTROSUN TECHNOLOGIES LTD,Ε001145/2014,16/09/2014,15/09/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Άγιος Ιωάννης Μαλούντας
ΙΕΡΑ ΜΟΝΗ ΑΓΙΟΥ ΜΗΝΑ,Ε001144/2014,09/09/2014,08/09/2044,20,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λάρνακα,Βάβλα
SAVVAS G. PEYIOTIS HOMATOURGIKA LTD,Ε001143/2014,09/09/2014,08/09/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Πάφος,Θελέτρια
KCN ENERGY LTD,Ε001142/2014,09/09/2014,08/09/2044,99.715,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Άγιος Θεόδωρος
AVRAAM SOLAR ENERGY LTD,Ε001141/2014,09/09/2014,08/09/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Πάχνα
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001140/2014,09/09/2014,08/09/2044,75,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Τρούλλοι
S.S.H. SCANDINAVIAN SOLARPARKS HOLDING LTD,Ε001138/2014,01/09/2014,31/08/2044,608,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Μειοδοτικός Διαγωνισμός,Λευκωσία,Αγλαντζιά
NSM FOTOENERGIA LTD,Ε001137/2014,01/09/2014,31/08/2044,99.9,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Απεσιά
DC GAP LTD,Ε001136/2014,01/09/2014,31/08/2044,80,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Ορά
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001135/2014,01/09/2014,31/08/2044,99.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λεμεσός,Πελένδρι
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001134/2014,01/09/2014,31/08/2044,50,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λάρνακα,Αραδίππου
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001133/2014,07/08/2014,06/08/2044,50,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Πάφος,Πολέμι
A.M. ODYSSEY SOLAR LTD,Ε001132/2014,06/08/2014,05/08/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Άγιος Γεώργιος Καυκάλλου
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε001131/2014,06/08/2014,05/08/2044,75,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Πάφος,Πολέμι
ΦΑΝΟΣ Ν. ΕΠΙΦΑΝΙΟΥ Δ.Σ. ΛΤΔ,Ε001130/2014,06/08/2014,05/08/2044,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,FiT,Λευκωσία,Καϊμακλί
