Κατάλογος Εξαιρέσεων από Άδεια,,,,,,,,,,,,,
Όνομα Αδειούχου,Αριθμός Άδειας,Ημερομηνία Έναρξης,Ημερομηνία Λήξης,Ισχύς (KW),Αποθήκευση ενέργειας – Ισχύς εξόδου (kW),Αποθήκευση ενέργειας – Αποθηκευτική ισχύς (kWh),Τεχνολογία,Τύπος Τεχνολογίας,Καύσιμο,Τύπος Άδειας,Καθεστώς Λειτουργίας,Επαρχία,Δήμος/Κοινότητα
ESPERIA GREEN ENERGY LTD,Ε005089/2025,12/11/2025,11/11/2030,2448,2448,8690,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγία Βαρβάρα
BP-S 152 LTD,Ε005088/2025,12/11/2025,11/11/2030,1500,1500,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άγιο Θεόδωρο
BP-S 152 LTD,Ε005087/2025,12/11/2025,11/11/2030,1500,1500,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άγιο Θεόδωρο
SANTIAM INVESTMENT VI LTD,Ε005086/2025,12/11/2025,11/11/2030,0,1560,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιος Ιωάννης 
SANTIAM INVESTMENT V LTD,Ε005085/2025,12/11/2025,11/11/2030,0,1920,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιος Ιωάννης 
SANTIAM INVESTMENT IV LTD,Ε005084/2025,12/11/2025,11/11/2030,0,3600,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Γέρι
SANTIAM INVESTMENT III LTD,Ε005083/2025,12/11/2025,11/11/2030,0,2260,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Περιστερώνα
SANTIAM INVESTMENT IΙ LTD,Ε005082/2025,12/11/2025,11/11/2030,0,1900,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιος Ιωάννης 
SPACE GUARD LTD,Ε005081/2025,04/11/2025,03/11/2030,150,30,450,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Περιστερώνα
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε005080/2025,04/11/2025,03/11/2030,250,200,800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Ορούντα
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε005079/2025,04/11/2025,03/11/2030,180,150,600,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Ορούντα
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε005078/2025,04/11/2025,03/11/2030,2000,2000,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Νικητάρι
RAGUNA LTD,Ε005077/2025,04/11/2025,03/11/2030,2500,2500,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Μαθικολώνη
THANOS CLUBHOTELS LTD,Ε005076/2025,04/11/2025,03/11/2027,260,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Πάφος,Νέο Χωριό
ΥΠΟΥΡΓΕΙΟ ΑΜΥΝΑΣ - ΕΘΝΙΚΗ ΦΡΟΥΡΑ- ΣΤΡΑΤΟΠΕΔΟ Δ. ΧΡΙΣΤΟΔΟΥΛΟΥ ΚΑΙ ΦΩΤΗ ΠΙΤΤΑ,Ε005075/2025,04/11/2025,03/11/2027,240,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Αμμόχωστος,Παραλίμνι-Δερύνεια-Φρέναρος
ΥΠΟΥΡΓΕΙΟ ΑΜΥΝΑΣ - ΕΘΝΙΚΗ ΦΡΟΥΡΑ- ΣΤΡΑΤΟΠΕΔΟ ΑΝΔΡΕΑ ΣΟΥΡΟΥΚΛΗ,Ε005074/2025,04/11/2025,03/11/2027,180,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λάρνακα,-
ΥΠΟΥΡΓΕΙΟ ΑΜΥΝΑΣ - ΕΘΝΙΚΗ ΦΡΟΥΡΑ- ΣΤΡΑΤΟΠΕΔΟ ΑΥΞΕΝΤΙΟΥ,Ε005073/2025,04/11/2025,03/11/2027,80,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λάρνακα,Κόση
ΥΠΟΥΡΓΕΙΟ ΑΜΥΝΑΣ - ΕΘΝΙΚΗ ΦΡΟΥΡΑ- ΣΤΡΑΤΟΠΕΔΟ ΙΝΕΙΑΣ-ΓΕΩΡΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,Ε005072/2025,04/11/2025,03/11/2027,55,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Πάφος,"Ακάμα, Ίννεια"
ΥΠΟΥΡΓΕΙΟ ΑΜΥΝΑΣ - ΕΘΝΙΚΗ ΦΡΟΥΡΑ- ΔΟΙΚΗΣΗ ΝΑΥΤΙΚΟΥ,Ε005071/2025,04/11/2025,03/11/2027,55,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Πισσούρι
PETROLINA ELECTRIC LTD,Ε005070/2025,29/10/2025,28/10/2030,8000,8000,25000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Περιστερώνα
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε005069/2025,29/10/2025,28/10/2030,150,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αθηένου
C&AMP;P PROPERTY INVESTMENTS LTD,Ε005068/2025,29/10/2025,28/10/2030,250,250,250,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Πέγεια
PETROLINA ENERGY LTD,Ε005067/2025,29/10/2025,28/10/2030,2020,2020,5000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αραδίππου
WATTZ PROJECT 6 LTD,Ε005066/2025,29/10/2025,28/10/2030,1250,1250,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Παραμύθα
WATTZ PROJECT 8 LTD,Ε005065/2025,29/10/2025,28/10/2030,2000,2000,8000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Παλαιμέτοχο
WATTZ PROJECT 7 LTD,Ε005064/2025,29/10/2025,28/10/2030,1400,1400,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Φασούλα
WATTZ PROJECT 7 LTD,Ε005063/2025,29/10/2025,28/10/2030,1100,1100,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Φασούλα
PAKAT RES LTD,Ε005062/2025,29/10/2025,28/10/2030,119.34,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Μέσα Χωριό 
PVP ECOSPARKS ENERGY LTD,Ε005061/2025,21/10/2025,20/10/2030,990,990,2000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
PVP ECOSPARKS ENERGY LTD,Ε005060/2025,21/10/2025,20/10/2030,1400,1400,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
PVP ECOSPARKS ENERGY LTD,Ε005059/2025,21/10/2025,20/10/2030,1500,1500,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
PVP ECOSAVER ENERGY LTD,Ε005058/2025,21/10/2025,20/10/2030,1400,1400,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
PVP ECOSAVER ENERGY LTD,Ε005057/2025,21/10/2025,20/10/2030,1500,1500,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
PVP ECOSAVER ENERGY LTD,Ε005056/2025,21/10/2025,20/10/2030,1700,1700,5000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
PVP ECOSAVER ENERGY LTD,Ε005055/2025,21/10/2025,20/10/2030,990,990,2000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
BIOLAND PROJECT 66 LTD,Ε005054/2025,21/10/2025,20/10/2030,0,2000,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλαμινό
CLASSONE SOLAR BREEZE LTD,Ε005053/2025,21/10/2025,20/10/2030,0,1500,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Πισσούρι
CLASSONE SOLAR GARDEN LTD,Ε005052/2025,21/10/2025,20/10/2030,0,3000,12000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Πισσούρι
BP-S 156 LTD,Ε005051/2025,21/10/2025,20/10/2030,1000,1000,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλαμινό
