Developer group,Brand,SPVs,Licences,PV MWp,BESS MW,Max score,Primary target,Districts,Directors,Developer domain,Best contact,Best email,Best phone,Confidence,Companies
risanthi,RISANTHI,1,1,6.00,6.00,44,Hybrid EPC (PV + BESS),Nicosia,VLADIMIR NOVIKOV,,,,,,RISANTHI LTD
t-sun,T SUN,1,2,6.00,4.00,44,PV O&M,Limassol,,,,,,,L & T SUN ENERGY LTD
--7,ΔΗΜΟΣ ΠΟΛΕΜΙΔΙΩΝ,1,1,5.90,1.97,44,Hybrid EPC (PV + BESS),Limassol,,,,,,,ΔΗΜΟΣ ΠΟΛΕΜΙΔΙΩΝ
acv-souni,ACV SOUNI,1,1,6.00,0.00,42,PV EPC,Limassol,ΧΡΙΣΤΟΔΟΥΛΟΣ ΠΑΝΤΕΛΑΣ,,,,,,ACV SOUNI SOLAR VALLEY LTD
electrilo,ELECTRILO,1,1,5.50,4.00,42,Hybrid EPC (PV + BESS),Larnaca,ARCHIL MAMATELASHVILI; ΓΕΩΡΓΙΟΣ ΚΑΡΟΥΛΛΑΣ,,,,,,ELECTRILO LTD
suna,SUNA,1,1,4.50,0.00,42,PV O&M,Limassol,ΜΕΜΝΙΑ ΠΑΠΑΔΟΠΟΥΛΟΥ,,,,,,SUNA LTD
cypv,CYPV,1,1,4.40,0.00,42,PV O&M,Famagusta,ΠΑΡΑΣΚΕΥΑΣ ΑΝΔΡΕΟΥ; LEONID LAVRENTIEV,,,,,,CYPV ENERGY LTD
a,A,1,1,5.33,1.00,41,Hybrid EPC (PV + BESS),Limassol,ΕΥΓΕΝΙΑ ΗΡΟΔΟΤΟΥ; ΜΑΡΙΟΣ ΑΛΕΞΑΝΔΡΟΥ,,,,,,M.A.X.X. ENERGY GR LTD
tfc-develoments,TFC DEVELOMENTS,1,2,9.26,9.00,40,Hybrid EPC (PV + BESS),Nicosia,,,,,,,TFC DEVELOMENTS LTD
cyrus,CYRUS,1,1,5.40,0.00,40,PV EPC,Nicosia,ΑΝΔΡΕΑΣ ΑΡΕΣΤΗ,,,,,,CYRUS SOLAR THERMAL LTD
energyverse,ENERGYVERSE,1,1,5.10,3.35,40,Hybrid EPC (PV + BESS),Larnaca,ΚΥΡΙΑΚΟΣ ΧΑΒΑΤΖΙΑΣ,,,,,,ENERGYVERSE LTD
sunfan,SUNFAN,1,1,5.06,5.06,40,Hybrid EPC (PV + BESS),Limassol,ΛΕΥΤΕΡΗΣ ΕΛΕΥΘΕΡΙΟΥ,,,,,,SUNFAN LTD
sun-padivan,SUN PADIVAN,1,1,5.33,0.00,39,PV EPC,Larnaca,ΠΑΝΑΓΙΩΤΗΣ ΒΑΣΙΛΕΙΟΥ; ΝΙΚΟΛΑΣ ΓΑΒΡΙΗΛ,,,,,,SUN PADIVAN GROUP LTD
